Tåguppdrag,Tågnr,Tågordning uppdrag,Datum (PAU),Tågslag,UppehållstypAvgång,UppehållstypAnkomst,Delsträckanummer,Första platssignatur,Första platssignatur för uppdrag,Sista platssignatur,Sista platssignatur för uppdrag,Avgångsplats,Från platssignatur,Ankomstplats,Till platssignatur,Sträcka med riktning,Inställelseorsakskod,Inställelseorsak,Ankomsttid,Avgångstid,Planerad ankomsttid,Planerad avgångstid,Dragfordonsid,Framförda tågkm,Rapporterad tågvikt,Rapporterad tåglängd,Antal rapporterade vagnar,Antal rapporterade hjulaxlar,Inställtflagga,Planeringsstatus
2519,002519,1,2015-01-01,RST,Första,Uppehåll,1,KÄN,KÄN,VHE,VHE,Kungsängen,Kän,Kallhäll,Khä,Kän-Khä,-,-,2015-01-01 08:53,2015-01-01 08:50,2015-01-01 08:53,2015-01-01 08:49,X606013,5.16126,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,2,KÄN,KÄN,VHE,VHE,Kallhäll,Khä,Jakobsberg,Jkb,Khä-Jkb,-,-,2015-01-01 08:56,2015-01-01 08:54,2015-01-01 08:57,2015-01-01 08:53,X606013,3.58323,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,3,KÄN,KÄN,VHE,VHE,Jakobsberg,Jkb,Barkarby,Bkb,Jkb-Bkb,-,-,2015-01-01 08:59,2015-01-01 08:57,2015-01-01 09:00,2015-01-01 08:57,X606013,2.90488,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,4,KÄN,KÄN,VHE,VHE,Barkarby,Bkb,Spånga,Spå,Bkb-Spå,-,-,2015-01-01 09:02,2015-01-01 09:00,2015-01-01 09:04,2015-01-01 09:00,X606013,3.17353,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Passage,5,KÄN,KÄN,VHE,VHE,Spånga,Spå,Duvbo,Duo,Spå-Duo,-,-,2015-01-01 09:05,2015-01-01 09:04,2015-01-01 09:06,2015-01-01 09:04,X606013,2.50390,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Passage,Uppehåll,6,KÄN,KÄN,VHE,VHE,Duvbo,Duo,Sundbyberg,Sub,Duo-Sub,-,-,2015-01-01 09:07,2015-01-01 09:05,2015-01-01 09:09,2015-01-01 09:06,X606013,2.52229,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Passage,7,KÄN,KÄN,VHE,VHE,Sundbyberg,Sub,Huvudsta,Huv,Sub-Huv,-,-,2015-01-01 09:11,2015-01-01 09:09,2015-01-01 09:11,2015-01-01 09:09,X606013,1.94789,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Passage,Uppehåll,8,KÄN,KÄN,VHE,VHE,Huvudsta,Huv,Karlberg,Ke,Huv-Ke,-,-,2015-01-01 09:13,2015-01-01 09:11,2015-01-01 09:13,2015-01-01 09:11,X606013,2.45735,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,9,KÄN,KÄN,VHE,VHE,Karlberg,Ke,Stockholm C,Cst,Ke-Cst,-,-,2015-01-01 09:16,2015-01-01 09:13,2015-01-01 09:17,2015-01-01 09:13,X606013,2.08800,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,10,KÄN,KÄN,VHE,VHE,Stockholm C,Cst,Stockholm Södra,Sst,Cst-Sst,-,-,2015-01-01 09:21,2015-01-01 09:19,2015-01-01 09:22,2015-01-01 09:19,X606013,2.33011,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,11,KÄN,KÄN,VHE,VHE,Stockholm Södra,Sst,Årstaberg,Åbe,Sst-Åbe,-,-,2015-01-01 09:24,2015-01-01 09:22,2015-01-01 09:25,2015-01-01 09:22,X606013,2.61269,206.00,107.10,0,14,N,P
2519,002519,1,2015-01-01,RST,Uppehåll,Uppehåll,12,KÄN,KÄN,VHE,VHE,Årstaberg,Åbe,Älvsjö,Äs,Åbe-Äs,-,-,2015-01-01 09:27,2015-01-01 09:25,2015-01-01 09:29,2015-01-01 09:25,X606013,2.91984,206.00,107.10,0,14,N,P
