From,To,Passenger_Count
Bkb,Bkb,0
Bro,Bkb,124
Bål,Bkb,183
Fas,Bkb,211
Flb,Bkb,753
Gn,Bkb,63
Gdv,Bkb,1
Hnd,Bkb,317
Hel,Bkb,373
Hfa,Bkb,1
Hu,Bkb,464
Hgv,Bkb,161
Jkb,Bkb,651
Jbo,Bkb,195
Khä,Bkb,259
Ke,Bkb,686
Kn,Bkb,4
Kda,Bkb,2
Kän,Bkb,216
Mr,Bkb,365
Mö,Bkb,1
Nvk,Bkb,125
Ngd,Bkb,1
Nyh,Bkb,62
Rs,Bkb,58
R,Bkb,248
Rön,Bkb,159
Ssä,Bkb,1
Skg,Bkb,238
Sol,Bkb,496
So,Bkb,609
Spå,Bkb,502
Cst,Bkb,5320
Sst,Bkb,1088
Sta,Bkb,208
Sub,Bkb,734
Söc,Bkb,57
Söd,Bkb,76
Söu,Bkb,1
Tåd,Bkb,131
Tul,Bkb,262
Tu,Bkb,454
Ts,Bkb,1
Udl,Bkb,203
Upv,Bkb,414
U,Bkb,18
Vhe,Bkb,11
Åbe,Bkb,586
Äs,Bkb,592
Öso,Bkb,2
Öte,Bkb,186
Bkb,Bro,124
Bro,Bro,0
Bål,Bro,95
Fas,Bro,92
Flb,Bro,329
Gn,Bro,28
Gdv,Bro,1
Hnd,Bro,139
Hel,Bro,163
Hfa,Bro,1
Hu,Bro,203
Hgv,Bro,66
Jkb,Bro,292
Jbo,Bro,85
Khä,Bro,120
Ke,Bro,300
Kn,Bro,2
Kda,Bro,1
Kän,Bro,104
Mr,Bro,162
Mö,Bro,1
Nvk,Bro,51
Ngd,Bro,1
Nyh,Bro,27
Rs,Bro,26
R,Bro,113
Rön,Bro,70
Ssä,Bro,1
Skg,Bro,104
Sol,Bro,217
So,Bro,266
Spå,Bro,220
Cst,Bro,2322
Sst,Bro,475
Sta,Bro,91
Sub,Bro,321
Söc,Bro,25
Söd,Bro,33
Söu,Bro,1
Tåd,Bro,57
Tul,Bro,115
Tu,Bro,198
Ts,Bro,1
Udl,Bro,89
Upv,Bro,181
U,Bro,8
Vhe,Bro,5
Åbe,Bro,256
Äs,Bro,259
Öso,Bro,1
Öte,Bro,81
Bkb,Bål,183
Bro,Bål,95
Bål,Bål,0
Fas,Bål,136
Flb,Bål,486
Gn,Bål,41
Gdv,Bål,1
Hnd,Bål,205
Hel,Bål,241
Hfa,Bål,1
Hu,Bål,300
Hgv,Bål,97
Jkb,Bål,432
Jbo,Bål,126
Khä,Bål,177
Ke,Bål,444
Kn,Bål,3
Kda,Bål,1
Kän,Bål,154
Mr,Bål,236
Mö,Bål,1
Nvk,Bål,75
Ngd,Bål,1
Nyh,Bål,40
Rs,Bål,37
R,Bål,167
Rön,Bål,103
Ssä,Bål,1
Skg,Bål,154
Sol,Bål,321
So,Bål,394
Spå,Bål,325
Cst,Bål,3440
Sst,Bål,703
Sta,Bål,135
Sub,Bål,475
Söc,Bål,37
Söd,Bål,49
Söu,Bål,1
Tåd,Bål,85
Tul,Bål,169
Tu,Bål,294
Ts,Bål,1
Udl,Bål,131
Upv,Bål,263
U,Bål,15
Vhe,Bål,7
Åbe,Bål,379
Äs,Bål,383
Öso,Bål,1
Öte,Bål,120
Bkb,Fas,210
Bro,Fas,92
Bål,Fas,136
Fas,Fas,0
Flb,Fas,666
Gn,Fas,56
Gdv,Fas,1
Hnd,Fas,299
Hel,Fas,289
Hfa,Fas,1
Hu,Fas,410
Hgv,Fas,123
Jkb,Fas,483
Jbo,Fas,183
Khä,Fas,192
Ke,Fas,563
Kn,Fas,4
Kda,Fas,2
Kän,Fas,160
Mr,Fas,304
Mö,Fas,1
Nvk,Fas,96
Ngd,Fas,1
Nyh,Fas,58
Rs,Fas,48
R,Fas,190
Rön,Fas,141
Ssä,Fas,1
Skg,Fas,224
Sol,Fas,379
So,Fas,489
Spå,Fas,381
Cst,Fas,4432
Sst,Fas,922
Sta,Fas,184
Sub,Fas,580
Söc,Fas,50
Söd,Fas,67
Söu,Fas,1
Tåd,Fas,123
Tul,Fas,232
Tu,Fas,402
Ts,Fas,1
Udl,Fas,166
Upv,Fas,339
U,Fas,15
Vhe,Fas,10
Åbe,Fas,507
Äs,Fas,524
Öso,Fas,2
Öte,Fas,164
Bkb,Flb,752
Bro,Flb,329
Bål,Flb,485
Fas,Flb,666
Flb,Flb,0
Gn,Flb,212
Gdv,Flb,3
Hnd,Flb,1003
Hel,Flb,1031
Hfa,Flb,2
Hu,Flb,1530
Hgv,Flb,440
Jkb,Flb,1726
Jbo,Flb,616
Khä,Flb,686
Ke,Flb,2012
Kn,Flb,12
Kda,Flb,5
Kän,Flb,572
Mr,Flb,1088
Mö,Flb,2
Nvk,Flb,341
Ngd,Flb,3
Nyh,Flb,195
Rs,Flb,170
R,Flb,677
Rön,Flb,536
Ssä,Flb,2
Skg,Flb,751
Sol,Flb,1355
So,Flb,1748
Spå,Flb,1364
Cst,Flb,15861
Sst,Flb,3298
Sta,Flb,675
Sub,Flb,2074
Söc,Flb,191
Söd,Flb,256
Söu,Flb,3
Tåd,Flb,414
Tul,Flb,884
Tu,Flb,1534
Ts,Flb,3
Udl,Flb,594
Upv,Flb,1212
U,Flb,51
Vhe,Flb,34
Åbe,Flb,1814
Äs,Flb,1874
Öso,Flb,4
Öte,Flb,626
Bkb,Gn,63
Bro,Gn,28
Bål,Gn,41
Fas,Gn,56
Flb,Gn,211
Gn,Gn,0
Gdv,Gn,1
Hnd,Gn,84
Hel,Gn,86
Hfa,Gn,1
Hu,Gn,127
Hgv,Gn,37
Jkb,Gn,144
Jbo,Gn,52
Khä,Gn,57
Ke,Gn,167
Kn,Gn,1
Kda,Gn,1
Kän,Gn,48
Mr,Gn,91
Mö,Gn,1
Nvk,Gn,29
Ngd,Gn,1
Nyh,Gn,19
Rs,Gn,15
R,Gn,57
Rön,Gn,49
Ssä,Gn,1
Skg,Gn,63
Sol,Gn,113
So,Gn,145
Spå,Gn,113
Cst,Gn,1315
Sst,Gn,274
Sta,Gn,56
Sub,Gn,172
Söc,Gn,19
Söd,Gn,25
Söu,Gn,1
Tåd,Gn,35
Tul,Gn,75
Tu,Gn,135
Ts,Gn,1
Udl,Gn,50
Upv,Gn,101
U,Gn,5
Vhe,Gn,3
Åbe,Gn,151
Äs,Gn,156
Öso,Gn,1
Öte,Gn,60
Bkb,Gdv,1
Bro,Gdv,1
Bål,Gdv,1
Fas,Gdv,1
Flb,Gdv,3
Gn,Gdv,1
Gdv,Gdv,0
Hnd,Gdv,2
Hel,Gdv,2
Hfa,Gdv,1
Hu,Gdv,2
Hgv,Gdv,1
Jkb,Gdv,2
Jbo,Gdv,1
Khä,Gdv,1
Ke,Gdv,3
Kn,Gdv,1
Kda,Gdv,1
Kän,Gdv,1
Mr,Gdv,2
Mö,Gdv,1
Nvk,Gdv,1
Ngd,Gdv,1
Nyh,Gdv,1
Rs,Gdv,1
R,Gdv,1
Rön,Gdv,1
Ssä,Gdv,1
Skg,Gdv,1
Sol,Gdv,2
So,Gdv,2
Spå,Gdv,2
Cst,Gdv,17
Sst,Gdv,4
Sta,Gdv,1
Sub,Gdv,3
Söc,Gdv,1
Söd,Gdv,1
Söu,Gdv,1
Tåd,Gdv,1
Tul,Gdv,1
Tu,Gdv,2
Ts,Gdv,1
Udl,Gdv,1
Upv,Gdv,2
U,Gdv,1
Vhe,Gdv,1
Åbe,Gdv,2
Äs,Gdv,3
Öso,Gdv,1
Öte,Gdv,1
Bkb,Hnd,317
Bro,Hnd,139
Bål,Hnd,205
Fas,Hnd,299
Flb,Hnd,1003
Gn,Hnd,84
Gdv,Hnd,2
Hnd,Hnd,0
Hel,Hnd,434
Hfa,Hnd,1
Hu,Hnd,618
Hgv,Hnd,185
Jkb,Hnd,727
Jbo,Hnd,300
Khä,Hnd,289
Ke,Hnd,847
Kn,Hnd,5
Kda,Hnd,2
Kän,Hnd,241
Mr,Hnd,458
Mö,Hnd,1
Nvk,Hnd,144
Ngd,Hnd,2
Nyh,Hnd,95
Rs,Hnd,72
R,Hnd,285
Rön,Hnd,212
Ssä,Hnd,1
Skg,Hnd,347
Sol,Hnd,570
So,Hnd,736
Spå,Hnd,574
Cst,Hnd,6675
Sst,Hnd,1388
Sta,Hnd,277
Sub,Hnd,873
Söc,Hnd,76
Söd,Hnd,101
Söu,Hnd,2
Tåd,Hnd,189
Tul,Hnd,349
Tu,Hnd,605
Ts,Hnd,2
Udl,Hnd,250
Upv,Hnd,510
U,Hnd,22
Vhe,Hnd,17
Åbe,Hnd,764
Äs,Hnd,789
Öso,Hnd,2
Öte,Hnd,247
Bkb,Hel,373
Bro,Hel,163
Bål,Hel,241
Fas,Hel,289
Flb,Hel,1031
Gn,Hel,86
Gdv,Hel,2
Hnd,Hel,434
Hel,Hel,0
Hfa,Hel,1
Hu,Hel,635
Hgv,Hel,221
Jkb,Hel,856
Jbo,Hel,267
Khä,Hel,340
Ke,Hel,940
Kn,Hel,6
Kda,Hel,2
Kän,Hel,284
Mr,Hel,547
Mö,Hel,1
Nvk,Hel,172
Ngd,Hel,1
Nyh,Hel,85
Rs,Hel,86
R,Hel,341
Rön,Hel,217
Ssä,Hel,1
Skg,Hel,325
Sol,Hel,681
So,Hel,838
Spå,Hel,668
Cst,Hel,7290
Sst,Hel,1491
Sta,Hel,285
Sub,Hel,986
Söc,Hel,78
Söd,Hel,104
Söu,Hel,2
Tåd,Hel,179
Tul,Hel,358
Tu,Hel,622
Ts,Hel,2
Udl,Hel,289
Upv,Hel,610
U,Hel,26
Vhe,Hel,15
Åbe,Hel,802
Äs,Hel,811
Öso,Hel,2
Öte,Hel,254
Bkb,Hfa,1
Bro,Hfa,1
Bål,Hfa,1
Fas,Hfa,1
Flb,Hfa,2
Gn,Hfa,1
Gdv,Hfa,1
Hnd,Hfa,1
Hel,Hfa,1
Hfa,Hfa,0
Hu,Hfa,1
Hgv,Hfa,1
Jkb,Hfa,1
Jbo,Hfa,1
Khä,Hfa,1
Ke,Hfa,1
Kn,Hfa,1
Kda,Hfa,1
Kän,Hfa,1
Mr,Hfa,1
Mö,Hfa,1
Nvk,Hfa,1
Ngd,Hfa,1
Nyh,Hfa,1
Rs,Hfa,1
R,Hfa,1
Rön,Hfa,1
Ssä,Hfa,1
Skg,Hfa,1
Sol,Hfa,1
So,Hfa,1
Spå,Hfa,1
