From,To,Distance
Bkb,Bkb,0.0
Bro,Bkb,20.197
Bål,Bkb,29.306
Fas,Bkb,29.135
Gdv,Bkb,75.461
Hnd,Bkb,39.191
Hfa,Bkb,54.239
Jkb,Bkb,3.348
Jbo,Bkb,42.147
Khä,Bkb,7.052
Ke,Bkb,12.223
Kda,Bkb,47.189
Kän,Bkb,12.113
Ngd,Bkb,73.646
Nyh,Bkb,76.93
Ssä,Bkb,59.558
Skg,Bkb,32.969
Spå,Bkb,2.857
Cst,Bkb,14.246
Sst,Bkb,16.278
Sub,Bkb,7.676
Tåd,Bkb,31.208
Ts,Bkb,48.712
Vhe,Bkb,44.7
Åbe,Bkb,19.005
Äs,Bkb,21.612
Öso,Bkb,64.77
Bkb,Bro,20.198
Bro,Bro,0.0
Bål,Bro,9.112
Fas,Bro,49.332
Gdv,Bro,95.658
Hnd,Bro,59.388
Hfa,Bro,74.436
Jkb,Bro,16.869
Jbo,Bro,62.344
Khä,Bro,13.162
Ke,Bro,32.419
Kda,Bro,67.386
Kän,Bro,8.113
Ngd,Bro,93.842
Nyh,Bro,97.127
Ssä,Bro,79.755
Skg,Bro,53.165
Spå,Bro,23.053
Cst,Bro,34.443
Sst,Bro,36.475
Sub,Bro,27.872
Tåd,Bro,51.405
Ts,Bro,68.909
Vhe,Bro,64.896
Åbe,Bro,39.202
Äs,Bro,41.808
Öso,Bro,84.966
Bkb,Bål,29.303
Bro,Bål,9.109
Bål,Bål,0.0
Fas,Bål,58.459
Gdv,Bål,104.764
Hnd,Bål,68.493
Hfa,Bål,83.541
Jkb,Bål,25.975
Jbo,Bål,71.449
Khä,Bål,22.268
Ke,Bål,41.525
Kda,Bål,76.491
Kän,Bål,17.219
Ngd,Bål,102.948
Nyh,Bål,106.232
Ssä,Bål,88.86
Skg,Bål,62.271
Spå,Bål,32.159
Cst,Bål,43.458
Sst,Bål,45.603
Sub,Bål,36.986
Tåd,Bål,60.51
Ts,Bål,78.015
Vhe,Bål,74.024
Åbe,Bål,48.329
Äs,Bål,50.936
Öso,Bål,94.072
Bkb,Fas,29.135
Bro,Fas,49.331
Bål,Fas,58.441
Fas,Fas,0.0
Gdv,Fas,46.34
Hnd,Fas,10.069
Hfa,Fas,25.117
Jkb,Fas,32.482
Jbo,Fas,13.025
Khä,Fas,36.186
Ke,Fas,16.946
Kda,Fas,18.067
Kän,Fas,41.248
Ngd,Fas,44.524
Nyh,Fas,47.808
Ssä,Fas,30.436
Skg,Fas,3.847
Spå,Fas,26.307
Cst,Fas,14.962
Sst,Fas,12.898
Sub,Fas,21.473
Tåd,Fas,2.086
Ts,Fas,19.591
Vhe,Fas,15.578
Åbe,Fas,10.275
Äs,Fas,7.542
Öso,Fas,35.648
Bkb,Gdv,75.462
Bro,Gdv,95.658
