From,To,Travel_Time
Bkb,Bkb,0.0
Bro,Bkb,17.0
Bål,Bkb,22.0
Fas,Bkb,33.0
Gdv,Bkb,82.0
Hnd,Bkb,44.0
Hfa,Bkb,65.0
Jkb,Bkb,3.0
Jbo,Bkb,47.0
Khä,Bkb,7.0
Ke,Bkb,12.0
Kda,Bkb,58.0
Kän,Bkb,11.0
Ngd,Bkb,79.0
Nyh,Bkb,84.0
Ssä,Bkb,69.0
Skg,Bkb,38.0
Spå,Bkb,3.0
Cst,Bkb,15.0
Sst,Bkb,21.0
Sub,Bkb,7.0
Tåd,Bkb,36.0
Ts,Bkb,60.0
Vhe,Bkb,50.0
Åbe,Bkb,24.0
Äs,Bkb,27.0
Öso,Bkb,73.0
Bkb,Bro,18.0
Bro,Bro,0.0
Bål,Bro,5.0
Fas,Bro,51.0
Gdv,Bro,100.0
Hnd,Bro,62.0
Hfa,Bro,83.0
Jkb,Bro,13.0
Jbo,Bro,65.0
Khä,Bro,9.0
Ke,Bro,30.0
Kda,Bro,76.0
Kän,Bro,5.0
Ngd,Bro,97.0
Nyh,Bro,102.0
Ssä,Bro,87.0
Skg,Bro,56.0
Spå,Bro,21.0
Cst,Bro,33.0
Sst,Bro,39.0
Sub,Bro,25.0
Tåd,Bro,54.0
Ts,Bro,78.0
Vhe,Bro,68.0
Åbe,Bro,42.0
Äs,Bro,45.0
Öso,Bro,91.0
Bkb,Bål,24.0
Bro,Bål,6.0
Bål,Bål,0.0
Fas,Bål,59.0
Gdv,Bål,106.0
Hnd,Bål,68.0
Hfa,Bål,89.0
Jkb,Bål,19.0
Jbo,Bål,71.0
Khä,Bål,15.0
Ke,Bål,36.0
Kda,Bål,82.0
Kän,Bål,11.0
Ngd,Bål,103.0
Nyh,Bål,108.0
Ssä,Bål,93.0
Skg,Bål,62.0
Spå,Bål,27.0
Cst,Bål,39.0
Sst,Bål,47.0
Sub,Bål,32.0
Tåd,Bål,60.0
Ts,Bål,84.0
Vhe,Bål,75.0
Åbe,Bål,50.0
Äs,Bål,53.0
Öso,Bål,97.0
Bkb,Fas,34.0
Bro,Fas,51.0
Bål,Fas,56.0
Fas,Fas,0.0
Gdv,Fas,49.0
Hnd,Fas,11.0
Hfa,Fas,32.0
Jkb,Fas,37.0
Jbo,Fas,14.0
Khä,Fas,41.0
Ke,Fas,21.0
Kda,Fas,25.0
Kän,Fas,45.0
Ngd,Fas,46.0
Nyh,Fas,51.0
Ssä,Fas,36.0
Skg,Fas,5.0
Spå,Fas,30.0
Cst,Fas,15.0
Sst,Fas,12.0
Sub,Fas,25.0
Tåd,Fas,3.0
Ts,Fas,27.0
Vhe,Fas,17.0
Åbe,Fas,9.0
Äs,Fas,5.0
Öso,Fas,40.0
Bkb,Gdv,84.0
Bro,Gdv,101.0
Bål,Gdv,106.0
Fas,Gdv,50.0
Gdv,Gdv,0.0
Hnd,Gdv,39.0
Hfa,Gdv,17.0
Jkb,Gdv,87.0
Jbo,Gdv,36.0
Khä,Gdv,91.0
Ke,Gdv,71.0
Kda,Gdv,25.0
Kän,Gdv,95.0
Ngd,Gdv,3.0
Nyh,Gdv,9.0
Ssä,Gdv,13.0
Skg,Gdv,45.0
Spå,Gdv,80.0
Cst,Gdv,65.0
Sst,Gdv,62.0
Sub,Gdv,75.0
Tåd,Gdv,47.0
Ts,Gdv,22.0
Vhe,Gdv,28.0
Åbe,Gdv,59.0
Äs,Gdv,55.0
Öso,Gdv,9.0
Bkb,Hnd,45.0
Bro,Hnd,62.0
Bål,Hnd,67.0
Fas,Hnd,11.0
Gdv,Hnd,38.0
Hnd,Hnd,0.0
Hfa,Hnd,21.0
Jkb,Hnd,48.0
Jbo,Hnd,3.0
Khä,Hnd,52.0
Ke,Hnd,32.0
Kda,Hnd,14.0
Kän,Hnd,56.0
Ngd,Hnd,35.0
Nyh,Hnd,40.0
Ssä,Hnd,25.0
Skg,Hnd,6.0
Spå,Hnd,41.0
Cst,Hnd,26.0
Sst,Hnd,23.0
Sub,Hnd,36.0
Tåd,Hnd,8.0
Ts,Hnd,16.0
Vhe,Hnd,6.0
Åbe,Hnd,20.0
Äs,Hnd,16.0
